0:UNKNOWN:Unknown key code. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>UNKNOWN</h1><h2>Keyevent Overview</h2><p>Unknown key code. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 0</code> and maps to the Android constant <code>KEYCODE_UNKNOWN</code>.</p><h2>Behavior Details</h2><p>Unknown key code This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
92:PAGE_UP:Page up key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>PAGE_UP</h1><h2>Keyevent Overview</h2><p>Page up key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 92</code> and maps to the Android constant <code>KEYCODE_PAGE_UP</code>.</p><h2>Behavior Details</h2><p>Page up key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
93:PAGE_DOWN:Page down key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>PAGE_DOWN</h1><h2>Keyevent Overview</h2><p>Page down key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 93</code> and maps to the Android constant <code>KEYCODE_PAGE_DOWN</code>.</p><h2>Behavior Details</h2><p>Page down key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
94:PICTSYMBOLS:Picture-symbols modifier key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>PICTSYMBOLS</h1><h2>Keyevent Overview</h2><p>Picture-symbols modifier key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 94</code> and maps to the Android constant <code>KEYCODE_PICTSYMBOLS</code>.</p><h2>Behavior Details</h2><p>Picture-symbols modifier key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
95:SWITCH_CHARSET:Charset switching modifier key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>SWITCH_CHARSET</h1><h2>Keyevent Overview</h2><p>Charset switching modifier key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 95</code> and maps to the Android constant <code>KEYCODE_SWITCH_CHARSET</code>.</p><h2>Behavior Details</h2><p>Charset switching modifier key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
96:BUTTON_A:Game controller A button. It maps to a controller-style gamepad button on supported hardware.:<h1>BUTTON_A</h1><h2>Keyevent Overview</h2><p>Game controller A button. It maps to a controller-style gamepad button on supported hardware.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 96</code> and maps to the Android constant <code>KEYCODE_BUTTON_A</code>.</p><h2>Behavior Details</h2><p>Game controller A button This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
97:BUTTON_B:Game controller B button. It maps to a controller-style gamepad button on supported hardware.:<h1>BUTTON_B</h1><h2>Keyevent Overview</h2><p>Game controller B button. It maps to a controller-style gamepad button on supported hardware.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 97</code> and maps to the Android constant <code>KEYCODE_BUTTON_B</code>.</p><h2>Behavior Details</h2><p>Game controller B button This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
98:BUTTON_C:Game controller C button. It maps to a controller-style gamepad button on supported hardware.:<h1>BUTTON_C</h1><h2>Keyevent Overview</h2><p>Game controller C button. It maps to a controller-style gamepad button on supported hardware.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 98</code> and maps to the Android constant <code>KEYCODE_BUTTON_C</code>.</p><h2>Behavior Details</h2><p>Game controller C button This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
99:BUTTON_X:Game controller X button. It maps to a controller-style gamepad button on supported hardware.:<h1>BUTTON_X</h1><h2>Keyevent Overview</h2><p>Game controller X button. It maps to a controller-style gamepad button on supported hardware.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 99</code> and maps to the Android constant <code>KEYCODE_BUTTON_X</code>.</p><h2>Behavior Details</h2><p>Game controller X button This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
100:BUTTON_Y:Game controller Y button. It maps to a controller-style gamepad button on supported hardware.:<h1>BUTTON_Y</h1><h2>Keyevent Overview</h2><p>Game controller Y button. It maps to a controller-style gamepad button on supported hardware.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 100</code> and maps to the Android constant <code>KEYCODE_BUTTON_Y</code>.</p><h2>Behavior Details</h2><p>Game controller Y button This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
101:BUTTON_Z:Game controller Z button. It maps to a controller-style gamepad button on supported hardware.:<h1>BUTTON_Z</h1><h2>Keyevent Overview</h2><p>Game controller Z button. It maps to a controller-style gamepad button on supported hardware.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 101</code> and maps to the Android constant <code>KEYCODE_BUTTON_Z</code>.</p><h2>Behavior Details</h2><p>Game controller Z button This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
102:BUTTON_L1:Game controller L1 button. It maps to a controller-style gamepad button on supported hardware.:<h1>BUTTON_L1</h1><h2>Keyevent Overview</h2><p>Game controller L1 button. It maps to a controller-style gamepad button on supported hardware.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 102</code> and maps to the Android constant <code>KEYCODE_BUTTON_L1</code>.</p><h2>Behavior Details</h2><p>Game controller L1 button This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
103:BUTTON_R1:Game controller R1 button. It maps to a controller-style gamepad button on supported hardware.:<h1>BUTTON_R1</h1><h2>Keyevent Overview</h2><p>Game controller R1 button. It maps to a controller-style gamepad button on supported hardware.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 103</code> and maps to the Android constant <code>KEYCODE_BUTTON_R1</code>.</p><h2>Behavior Details</h2><p>Game controller R1 button This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
104:BUTTON_L2:Game controller L2 button. It maps to a controller-style gamepad button on supported hardware.:<h1>BUTTON_L2</h1><h2>Keyevent Overview</h2><p>Game controller L2 button. It maps to a controller-style gamepad button on supported hardware.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 104</code> and maps to the Android constant <code>KEYCODE_BUTTON_L2</code>.</p><h2>Behavior Details</h2><p>Game controller L2 button This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
105:BUTTON_R2:Game controller R2 button. It maps to a controller-style gamepad button on supported hardware.:<h1>BUTTON_R2</h1><h2>Keyevent Overview</h2><p>Game controller R2 button. It maps to a controller-style gamepad button on supported hardware.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 105</code> and maps to the Android constant <code>KEYCODE_BUTTON_R2</code>.</p><h2>Behavior Details</h2><p>Game controller R2 button This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
106:BUTTON_THUMBL:Left thumbstick press button. It maps to a controller-style gamepad button on supported hardware.:<h1>BUTTON_THUMBL</h1><h2>Keyevent Overview</h2><p>Left thumbstick press button. It maps to a controller-style gamepad button on supported hardware.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 106</code> and maps to the Android constant <code>KEYCODE_BUTTON_THUMBL</code>.</p><h2>Behavior Details</h2><p>Left thumbstick press button This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
107:BUTTON_THUMBR:Right thumbstick press button. It maps to a controller-style gamepad button on supported hardware.:<h1>BUTTON_THUMBR</h1><h2>Keyevent Overview</h2><p>Right thumbstick press button. It maps to a controller-style gamepad button on supported hardware.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 107</code> and maps to the Android constant <code>KEYCODE_BUTTON_THUMBR</code>.</p><h2>Behavior Details</h2><p>Right thumbstick press button This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
108:BUTTON_START:Game controller Start button. It maps to a controller-style gamepad button on supported hardware.:<h1>BUTTON_START</h1><h2>Keyevent Overview</h2><p>Game controller Start button. It maps to a controller-style gamepad button on supported hardware.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 108</code> and maps to the Android constant <code>KEYCODE_BUTTON_START</code>.</p><h2>Behavior Details</h2><p>Game controller Start button This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
109:BUTTON_SELECT:Game controller Select button. It maps to a controller-style gamepad button on supported hardware.:<h1>BUTTON_SELECT</h1><h2>Keyevent Overview</h2><p>Game controller Select button. It maps to a controller-style gamepad button on supported hardware.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 109</code> and maps to the Android constant <code>KEYCODE_BUTTON_SELECT</code>.</p><h2>Behavior Details</h2><p>Game controller Select button This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
110:BUTTON_MODE:Game controller Mode button. It maps to a controller-style gamepad button on supported hardware.:<h1>BUTTON_MODE</h1><h2>Keyevent Overview</h2><p>Game controller Mode button. It maps to a controller-style gamepad button on supported hardware.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 110</code> and maps to the Android constant <code>KEYCODE_BUTTON_MODE</code>.</p><h2>Behavior Details</h2><p>Game controller Mode button This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
111:ESCAPE:Escape key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>ESCAPE</h1><h2>Keyevent Overview</h2><p>Escape key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 111</code> and maps to the Android constant <code>KEYCODE_ESCAPE</code>.</p><h2>Behavior Details</h2><p>Escape key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
112:FORWARD_DEL:Forward delete key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>FORWARD_DEL</h1><h2>Keyevent Overview</h2><p>Forward delete key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 112</code> and maps to the Android constant <code>KEYCODE_FORWARD_DEL</code>.</p><h2>Behavior Details</h2><p>Forward delete key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
113:CTRL_LEFT:Left Control modifier key. It acts as a modifier key and is typically combined with other keys.:<h1>CTRL_LEFT</h1><h2>Keyevent Overview</h2><p>Left Control modifier key. It acts as a modifier key and is typically combined with other keys.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 113</code> and maps to the Android constant <code>KEYCODE_CTRL_LEFT</code>.</p><h2>Behavior Details</h2><p>Left Control modifier key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
114:CTRL_RIGHT:Right Control modifier key. It acts as a modifier key and is typically combined with other keys.:<h1>CTRL_RIGHT</h1><h2>Keyevent Overview</h2><p>Right Control modifier key. It acts as a modifier key and is typically combined with other keys.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 114</code> and maps to the Android constant <code>KEYCODE_CTRL_RIGHT</code>.</p><h2>Behavior Details</h2><p>Right Control modifier key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
115:CAPS_LOCK:Caps Lock key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>CAPS_LOCK</h1><h2>Keyevent Overview</h2><p>Caps Lock key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 115</code> and maps to the Android constant <code>KEYCODE_CAPS_LOCK</code>.</p><h2>Behavior Details</h2><p>Caps Lock key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
116:SCROLL_LOCK:Scroll Lock key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>SCROLL_LOCK</h1><h2>Keyevent Overview</h2><p>Scroll Lock key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 116</code> and maps to the Android constant <code>KEYCODE_SCROLL_LOCK</code>.</p><h2>Behavior Details</h2><p>Scroll Lock key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
117:META_LEFT:Left Meta / Windows key. It acts as a modifier key and is typically combined with other keys.:<h1>META_LEFT</h1><h2>Keyevent Overview</h2><p>Left Meta / Windows key. It acts as a modifier key and is typically combined with other keys.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 117</code> and maps to the Android constant <code>KEYCODE_META_LEFT</code>.</p><h2>Behavior Details</h2><p>Left Meta / Windows key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
118:META_RIGHT:Right Meta / Windows key. It acts as a modifier key and is typically combined with other keys.:<h1>META_RIGHT</h1><h2>Keyevent Overview</h2><p>Right Meta / Windows key. It acts as a modifier key and is typically combined with other keys.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 118</code> and maps to the Android constant <code>KEYCODE_META_RIGHT</code>.</p><h2>Behavior Details</h2><p>Right Meta / Windows key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
119:FUNCTION:Function modifier key. It acts as a modifier key and is typically combined with other keys.:<h1>FUNCTION</h1><h2>Keyevent Overview</h2><p>Function modifier key. It acts as a modifier key and is typically combined with other keys.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 119</code> and maps to the Android constant <code>KEYCODE_FUNCTION</code>.</p><h2>Behavior Details</h2><p>Function modifier key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
120:SYSRQ:SysRq / Print Screen key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>SYSRQ</h1><h2>Keyevent Overview</h2><p>SysRq / Print Screen key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 120</code> and maps to the Android constant <code>KEYCODE_SYSRQ</code>.</p><h2>Behavior Details</h2><p>SysRq / Print Screen key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
121:BREAK:Break key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>BREAK</h1><h2>Keyevent Overview</h2><p>Break key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 121</code> and maps to the Android constant <code>KEYCODE_BREAK</code>.</p><h2>Behavior Details</h2><p>Break key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
122:MOVE_HOME:Move to home / start key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>MOVE_HOME</h1><h2>Keyevent Overview</h2><p>Move to home / start key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 122</code> and maps to the Android constant <code>KEYCODE_MOVE_HOME</code>.</p><h2>Behavior Details</h2><p>Move to home / start key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
123:MOVE_END:Move to end key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>MOVE_END</h1><h2>Keyevent Overview</h2><p>Move to end key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 123</code> and maps to the Android constant <code>KEYCODE_MOVE_END</code>.</p><h2>Behavior Details</h2><p>Move to end key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
124:INSERT:Insert key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>INSERT</h1><h2>Keyevent Overview</h2><p>Insert key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 124</code> and maps to the Android constant <code>KEYCODE_INSERT</code>.</p><h2>Behavior Details</h2><p>Insert key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
125:FORWARD:Forward navigation key. It is used to move focus or navigate within interfaces.:<h1>FORWARD</h1><h2>Keyevent Overview</h2><p>Forward navigation key. It is used to move focus or navigate within interfaces.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 125</code> and maps to the Android constant <code>KEYCODE_FORWARD</code>.</p><h2>Behavior Details</h2><p>Forward navigation key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
126:MEDIA_PLAY:Play media key. It is mainly used for playback or call-control workflows.:<h1>MEDIA_PLAY</h1><h2>Keyevent Overview</h2><p>Play media key. It is mainly used for playback or call-control workflows.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 126</code> and maps to the Android constant <code>KEYCODE_MEDIA_PLAY</code>.</p><h2>Behavior Details</h2><p>Play media key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
127:MEDIA_PAUSE:Pause media key. It is mainly used for playback or call-control workflows.:<h1>MEDIA_PAUSE</h1><h2>Keyevent Overview</h2><p>Pause media key. It is mainly used for playback or call-control workflows.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 127</code> and maps to the Android constant <code>KEYCODE_MEDIA_PAUSE</code>.</p><h2>Behavior Details</h2><p>Pause media key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
128:MEDIA_CLOSE:Close media key. It is mainly used for playback or call-control workflows.:<h1>MEDIA_CLOSE</h1><h2>Keyevent Overview</h2><p>Close media key. It is mainly used for playback or call-control workflows.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 128</code> and maps to the Android constant <code>KEYCODE_MEDIA_CLOSE</code>.</p><h2>Behavior Details</h2><p>Close media key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
129:MEDIA_EJECT:Eject media key. It is mainly used for playback or call-control workflows.:<h1>MEDIA_EJECT</h1><h2>Keyevent Overview</h2><p>Eject media key. It is mainly used for playback or call-control workflows.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 129</code> and maps to the Android constant <code>KEYCODE_MEDIA_EJECT</code>.</p><h2>Behavior Details</h2><p>Eject media key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
